variableMetadata	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	bio	blank	isotopes	adduct	pcgroup	fold	tstat	pvalue	blank_mean	blank_sd	blank_CV	sample_mean	sample_sd	sample_CV	blankMean_over_sampleMean	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M197.0672T220	197.0671709	197.0664183	197.0692617	219.9950858	215.2095879	237.1309328	38	35	0			1106	13.25521553	-10.66803865	0	50364.39842	60516.16525	1.201566328	2.775506249	0.404380068	0.145695967	18146.02235	627769.9	29565.03514	0.047095337	0.323243931
M197.0672T111	197.0671709	197.0664183	197.0705999	111.2946949	108.1631727	128.8805693	105	102	0			1152	22.84173034	-11.18267577	0	51457.40516	62056.19517	1.205972104	3.008545943	0.425134394	0.141308925	17103.74584	979378.3899	125109.4504	0.127743732	0.904003278
M197.0811T410	197.0810544	197.077918	197.0831454	410.0560628	408.8179439	419.4336906	242	210	6	[128][M]-	[M-H]- 198.085	128	434.8545166	-17.33223701	0	21686.61908	25459.77404	1.173985393	3.974542572	0.360768002	0.090769691	5456.381129	9493954.952	403344.9452	0.042484396	0.46804606
M197.0811T429	197.0810544	197.077918	197.0838982	428.7518053	419.4580361	451.1653052	191	161	0			54	34.84580591	-16.80900147	0	37639.94233	44855.308	1.191694387	3.14486545	0.280278393	0.089122539	11968.69721	1186078.219	88967.23425	0.075009584	0.841645509
M197.0811T356	197.0810544	197.0789635	197.0838982	356.0223661	324.7818199	367.9549655	116	110	0			1360	5.697689071	-5.256419598	3.36E-07	12998.98578	14698.91982	1.13077436	1.596662856	0.697508978	0.436854265	8141.346641	60341.31914	14161.60923	0.234691741	0.5372312
M197.9861T346	197.986129	197.9850763	197.9885288	346.4990164	343.9052402	358.7671635	88	83	0			912	72.60103616	-6.526062009	5.01E-10	2053.214452	2774.432308	1.351262799	1.432763812	0.990304308	0.691184618	1433.044606	109145.2793	25094.76535	0.229920758	0.332647388
M198.0243T58	198.0243262	198.0222202	198.0271909	57.57268282	55.19072223	59.71287609	65	65	0		[M-H]- 199.038	70	54.69894849	-9.999854042	0	597.9768914	1085.163155	1.814724232	1.418463252	0.597647933	0.421334801	421.5667135	30010.4003	6446.580318	0.21481154	0.50983574
M198.0398T268	198.0398279	198.0390692	198.040881	267.6431254	266.6566339	269.5892655	178	178	0	[129][M]-		1124	803.4478314	-6.956372082	4.41E-11	606.7297236	1425.819274	2.35000729	2.267992398	0.804350664	0.354653157	267.5184116	521962.0013	20118.74998	0.038544472	0.108682164
M198.0398T335	198.0398279	198.0390692	198.0411754	335.1877826	328.9017326	335.8309164	78	78	0			858	75.23313815	-9.876565441	0	350.5500086	1068.277756	3.047433262	1.135893974	0.706933072	0.622358326	308.6115576	27083.85767	5754.583859	0.212472829	0.341399512
M198.0483T225	198.0482532	198.0443349	198.0506541	225.4480869	212.3135546	228.8425644	110	107	0	[126][M+1]-		3333	54.4381758	-15.28517426	0	2827.957909	4379.684224	1.548709127	2.182142663	0.356523907	0.163382492	1295.95464	150561.0561	44613.86359	0.296317419	1.813642423
M198.0704T259	198.0703723	198.0696134	198.0706667	258.9128798	258.0736695	260.5961877	149	149	0	[127][M+1]-		2927	370.1788212	-13.39229654	0	188.2218086	510.0716348	2.709949706	1.714252874	0.626507882	0.365469932	109.7981584	71791.86136	5686.613152	0.079209719	0.216733886
M198.0759T272	198.0759337	198.0714257	198.0766927	271.9503694	258.3714437	272.6413149	196	191	0			4073	178.9291095	-11.5685332	0	1137.33896	2935.407139	2.580943098	2.208832511	0.524623396	0.237511623	514.9050252	184696.3632	11604.44996	0.062829878	0.264533908
M198.0844T410	198.0843614	198.08196	198.0872274	409.9576225	408.8179439	411.1834531	206	206	0	[128][M+1]-		128	947.0557227	-15.92770104	0	906.895686	2099.573094	2.315120831	2.887045626	0.428021391	0.148255846	314.1258586	849328.1585	35379.3167	0.04165565	0.280971384
M198.1125T452	198.1125141	198.109353	198.1156753	452.0647305	437.1314932	452.6442694	253	208	0	[130][M]-	[M-H]- 199.12	240	1394.815902	-14.19830758	0	837.3237489	1370.261217	1.636477191	3.054965392	0.427756479	0.140020073	274.0861651	789911.4635	63219.15931	0.080033222	0.571583915
